household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"$25,000 to $34,999",27.0,Yes,Unstable,2 – I can afford only some of these items,33643.0
"$15,000 to $24,999",61.0,No,Extremely unstable,1 – I cannot afford these items,17990.0
"Under $15,000",35.0,No,Extremely unstable,2 – I can afford only some of these items,1166.0
"$50,000 to $74,999",50.0,Yes,Fluctuating,3 – my time fluctuates,64781.0
"$15,000 to $24,999",61.0,Yes,Fluctuating,2 – I can afford only some of these items,19336.0
"Under $15,000",27.0,No,Unstable,2 – I can afford only some of these items,11455.0
"$15,000 to $24,999",40.0,No,Unstable,2 – I can afford only some of these items,16280.0
"Under $15,000",42.0,No,Extremely unstable,1 – I cannot afford these items,3867.0
"Under $15,000",27.0,No,Unstable,1 – I cannot afford these items,9453.0
"$35,000 to $49,999",31.0,Yes,Fluctuating,2 – I can afford only some of these items,38325.0
"$15,000 to $24,999",27.0,No,Extremely unstable,1 – I cannot afford these items,18494.0
"$15,000 to $24,999",26.0,No,Unstable,2 – I can afford only some of these items,19582.0
"$15,000 to $24,999",40.0,No,Fluctuating,3 – my time fluctuates,20454.0
"$25,000 to $34,999",38.0,No,Fluctuating,3 – my time fluctuates,27826.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,11512.0
"$35,000 to $49,999",28.0,No,Fluctuating,2 – I can afford only some of these items,39061.0
"Under $15,000",58.0,Yes,Unstable,2 – I can afford only some of these items,5683.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,20573.0
"$25,000 to $34,999",43.0,Yes,Unstable,2 – I can afford only some of these items,30387.0
"Under $15,000",44.0,No,Unstable,2 – I can afford only some of these items,9930.0
"$35,000 to $49,999",30.0,No,Fluctuating,3 – my time fluctuates,45989.0
"Under $15,000",29.0,No,Fluctuating,2 – I can afford only some of these items,1790.0
"$25,000 to $34,999",35.0,No,Extremely unstable,2 – I can afford only some of these items,32768.0
"$15,000 to $24,999",25.0,No,Unstable,1 – I cannot afford these items,19838.0
"Under $15,000",27.0,Yes,Extremely unstable,1 – I cannot afford these items,12308.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,20709.0
"$25,000 to $34,999",70.0,No,Fluctuating,3 – my time fluctuates,28082.0
"$25,000 to $34,999",26.0,Yes,Unstable,2 – I can afford only some of these items,34375.0
"Under $15,000",41.0,No,Extremely unstable,1 – I cannot afford these items,8915.0
"$25,000 to $34,999",25.0,Yes,Unstable,1 – I cannot afford these items,28542.0
"$15,000 to $24,999",34.0,No,Unstable,2 – I can afford only some of these items,23786.0
