household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"Under $15,000",20.0,Yes,Extremely unstable,2 – I can afford only some of these items,14931.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,10739.0
"$25,000 to $34,999",47.0,No,Fluctuating,3 – my time fluctuates,30951.0
"$25,000 to $34,999",37.0,Yes,Unstable,1 – I cannot afford these items,28381.0
"$15,000 to $24,999",41.0,No,Extremely unstable,2 – I can afford only some of these items,20560.0
"$25,000 to $34,999",48.0,No,Unstable,2 – I can afford only some of these items,27280.0
"$35,000 to $49,999",26.0,Yes,Fluctuating,3 – my time fluctuates,40845.0
"$15,000 to $24,999",25.0,No,Unstable,2 – I can afford only some of these items,22842.0
"Under $15,000",38.0,No,Fluctuating,3 – my time fluctuates,8481.0
"$25,000 to $34,999",39.0,No,Unstable,2 – I can afford only some of these items,29277.0
"$25,000 to $34,999",27.0,No,Fluctuating,2 – I can afford only some of these items,25845.0
"$25,000 to $34,999",32.0,No,Unstable,2 – I can afford only some of these items,32234.0
"$25,000 to $34,999",26.0,Yes,Stable,3 – my time fluctuates,31569.0
"Under $15,000",21.0,No,Extremely unstable,2 – I can afford only some of these items,12879.0
"$35,000 to $49,999",33.0,No,Unstable,2 – I can afford only some of these items,40058.0
"$15,000 to $24,999",64.0,Yes,Fluctuating,3 – my time fluctuates,19188.0
"$25,000 to $34,999",44.0,Yes,Unstable,3 – my time fluctuates,34429.0
"$15,000 to $24,999",39.0,Yes,Fluctuating,2 – I can afford only some of these items,24535.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,354.0
"$25,000 to $34,999",39.0,Yes,Extremely unstable,1 – I cannot afford these items,34066.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,23724.0
"$15,000 to $24,999",37.0,No,Unstable,2 – I can afford only some of these items,22682.0
"$25,000 to $34,999",26.0,Yes,Fluctuating,1 – I cannot afford these items,27766.0
"$50,000 to $74,999",50.0,Yes,Unstable,3 – my time fluctuates,60570.0
"$75,000 to $99,999",57.0,Yes,Stable,3 – my time fluctuates,98314.0
"$35,000 to $49,999",61.0,No,Fluctuating,3 – my time fluctuates,37429.0
"Under $15,000",27.0,Yes,Extremely unstable,5 – I have more than enough to afford materials,5884.0
"$15,000 to $24,999",23.0,No,Extremely unstable,3 – my time fluctuates,22309.0
"$35,000 to $49,999",26.0,No,Unstable,2 – I can afford only some of these items,40130.0
"Under $15,000",21.0,No,Unstable,2 – I can afford only some of these items,8322.0
"$15,000 to $24,999",27.0,No,Extremely unstable,1 – I cannot afford these items,17515.0
"$15,000 to $24,999",32.0,No,Unstable,1 – I cannot afford these items,24698.0
"$15,000 to $24,999",40.0,No,Extremely unstable,2 – I can afford only some of these items,22797.0
"$25,000 to $34,999",28.0,Yes,Fluctuating,3 – my time fluctuates,26925.0
"Under $15,000",28.0,No,Unstable,1 – I cannot afford these items,8750.0
"$25,000 to $34,999",40.0,Yes,Unstable,1 – I cannot afford these items,34357.0
"$25,000 to $34,999",27.0,No,Extremely unstable,2 – I can afford only some of these items,29763.0
"$25,000 to $34,999",57.0,Yes,Fluctuating,2 – I can afford only some of these items,32495.0
"$35,000 to $49,999",29.0,No,Fluctuating,1 – I cannot afford these items,46493.0
"$25,000 to $34,999",33.0,No,Extremely unstable,2 – I can afford only some of these items,25766.0
"$15,000 to $24,999",44.0,Yes,Fluctuating,3 – my time fluctuates,23958.0
"$15,000 to $24,999",33.0,No,Unstable,2 – I can afford only some of these items,18501.0
"$15,000 to $24,999",34.0,No,Unstable,2 – I can afford only some of these items,19835.0
"$35,000 to $49,999",36.0,Yes,Fluctuating,2 – I can afford only some of these items,37362.0
"Under $15,000",31.0,No,Extremely unstable,1 – I cannot afford these items,2088.0
"$25,000 to $34,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,30601.0
"$15,000 to $24,999",51.0,No,Unstable,1 – I cannot afford these items,24640.0
"$15,000 to $24,999",25.0,Yes,Unstable,1 – I cannot afford these items,15424.0
"$25,000 to $34,999",34.0,No,Fluctuating,3 – my time fluctuates,32866.0
"Under $15,000",36.0,No,Unstable,2 – I can afford only some of these items,1593.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,19280.0
"$25,000 to $34,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,27695.0
"$50,000 to $74,999",35.0,Yes,Fluctuating,2 – I can afford only some of these items,72114.0
"$15,000 to $24,999",22.0,No,Fluctuating,2 – I can afford only some of these items,22784.0
"$15,000 to $24,999",27.0,No,Extremely unstable,1 – I cannot afford these items,24001.0
"$25,000 to $34,999",35.0,No,Fluctuating,3 – my time fluctuates,33226.0
"$15,000 to $24,999",20.0,No,Unstable,2 – I can afford only some of these items,19241.0
"$35,000 to $49,999",24.0,No,Unstable,1 – I cannot afford these items,44373.0
"$25,000 to $34,999",36.0,Yes,Fluctuating,2 – I can afford only some of these items,34731.0
"$25,000 to $34,999",27.0,No,Fluctuating,1 – I cannot afford these items,28049.0
"$15,000 to $24,999",38.0,Yes,Fluctuating,2 – I can afford only some of these items,20823.0
"$25,000 to $34,999",40.0,Yes,Fluctuating,2 – I can afford only some of these items,26925.0
"$15,000 to $24,999",29.0,No,Unstable,3 – my time fluctuates,22741.0
"$35,000 to $49,999",32.0,No,Unstable,1 – I cannot afford these items,37230.0
"Under $15,000",21.0,No,Fluctuating,2 – I can afford only some of these items,722.0
"Under $15,000",24.0,Yes,Fluctuating,3 – my time fluctuates,347.0
"$25,000 to $34,999",40.0,Yes,Fluctuating,3 – my time fluctuates,25685.0
"Under $15,000",33.0,No,Unstable,1 – I cannot afford these items,14576.0
"$35,000 to $49,999",52.0,Yes,Fluctuating,3 – my time fluctuates,46864.0
"$35,000 to $49,999",30.0,No,Unstable,1 – I cannot afford these items,47709.0
"$50,000 to $74,999",52.0,Yes,Fluctuating,2 – I can afford only some of these items,57993.0
"$25,000 to $34,999",26.0,No,Unstable,3 – my time fluctuates,28206.0
"Under $15,000",39.0,Yes,Fluctuating,2 – I can afford only some of these items,8286.0
"$15,000 to $24,999",54.0,Yes,Extremely unstable,3 – my time fluctuates,16639.0
"$75,000 to $99,999",41.0,Yes,Unstable,2 – I can afford only some of these items,86383.0
"$15,000 to $24,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,15994.0
"$15,000 to $24,999",46.0,No,Unstable,1 – I cannot afford these items,16100.0
"$25,000 to $34,999",33.0,No,Unstable,2 – I can afford only some of these items,25455.0
"$25,000 to $34,999",24.0,No,Unstable,1 – I cannot afford these items,33889.0
"$25,000 to $34,999",37.0,No,Extremely unstable,1 – I cannot afford these items,26028.0
"$15,000 to $24,999",30.0,No,Unstable,3 – my time fluctuates,17391.0
"$25,000 to $34,999",56.0,No,Fluctuating,1 – I cannot afford these items,25169.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,289.0
"$15,000 to $24,999",28.0,No,Extremely unstable,1 – I cannot afford these items,23660.0
"$35,000 to $49,999",38.0,No,Extremely unstable,3 – my time fluctuates,49982.0
"$15,000 to $24,999",40.0,Yes,Extremely unstable,2 – I can afford only some of these items,16773.0
"Under $15,000",33.0,No,Unstable,2 – I can afford only some of these items,1366.0
"$15,000 to $24,999",35.0,No,Unstable,1 – I cannot afford these items,18307.0
"$25,000 to $34,999",43.0,No,Extremely unstable,2 – I can afford only some of these items,25780.0
"$15,000 to $24,999",52.0,Yes,Extremely unstable,1 – I cannot afford these items,21203.0
"$15,000 to $24,999",40.0,Yes,Extremely unstable,1 – I cannot afford these items,16993.0
"$15,000 to $24,999",28.0,Yes,Fluctuating,2 – I can afford only some of these items,17088.0
"$15,000 to $24,999",61.0,Yes,Unstable,2 – I can afford only some of these items,20455.0
"$15,000 to $24,999",36.0,Yes,Unstable,3 – my time fluctuates,16974.0
"$50,000 to $74,999",43.0,Yes,Unstable,3 – my time fluctuates,52714.0
"$25,000 to $34,999",32.0,No,Unstable,1 – I cannot afford these items,29608.0
"$15,000 to $24,999",27.0,No,Fluctuating,3 – my time fluctuates,17090.0
"$15,000 to $24,999",22.0,Yes,Unstable,3 – my time fluctuates,15004.0
"$15,000 to $24,999",34.0,No,Extremely unstable,1 – I cannot afford these items,23006.0
"$15,000 to $24,999",43.0,Yes,Stable,2 – I can afford only some of these items,19612.0
"$15,000 to $24,999",29.0,Yes,Unstable,1 – I cannot afford these items,18324.0
"$15,000 to $24,999",30.0,No,Extremely unstable,1 – I cannot afford these items,21119.0
"Under $15,000",29.0,Yes,Fluctuating,2 – I can afford only some of these items,12834.0
"Under $15,000",22.0,No,Unstable,1 – I cannot afford these items,8305.0
"$15,000 to $24,999",28.0,No,Fluctuating,2 – I can afford only some of these items,20058.0
"$15,000 to $24,999",31.0,Yes,Stable,1 – I cannot afford these items,19271.0
"Under $15,000",27.0,Yes,Unstable,2 – I can afford only some of these items,4630.0
"$25,000 to $34,999",46.0,No,Fluctuating,2 – I can afford only some of these items,25511.0
"Under $15,000",53.0,No,Unstable,2 – I can afford only some of these items,10362.0
"$15,000 to $24,999",28.0,No,Fluctuating,1 – I cannot afford these items,18794.0
"$25,000 to $34,999",54.0,Yes,Fluctuating,4 – I can afford these items,25401.0
"$15,000 to $24,999",62.0,Yes,Unstable,2 – I can afford only some of these items,20791.0
"$15,000 to $24,999",31.0,Yes,Stable,2 – I can afford only some of these items,24179.0
"Under $15,000",51.0,No,Extremely unstable,1 – I cannot afford these items,14027.0
"$25,000 to $34,999",28.0,Yes,Fluctuating,2 – I can afford only some of these items,27578.0
"$50,000 to $74,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,58729.0
"$15,000 to $24,999",28.0,Yes,Fluctuating,2 – I can afford only some of these items,15260.0
"$50,000 to $74,999",47.0,No,Fluctuating,3 – my time fluctuates,69199.0
"Under $15,000",55.0,No,Extremely unstable,2 – I can afford only some of these items,1531.0
"$25,000 to $34,999",45.0,No,Extremely unstable,1 – I cannot afford these items,32876.0
"Under $15,000",28.0,No,Unstable,3 – my time fluctuates,14011.0
"$15,000 to $24,999",24.0,No,Unstable,1 – I cannot afford these items,21812.0
"$35,000 to $49,999",28.0,No,Fluctuating,2 – I can afford only some of these items,36561.0
"$15,000 to $24,999",25.0,No,Extremely unstable,1 – I cannot afford these items,15596.0
"$25,000 to $34,999",62.0,Yes,Fluctuating,2 – I can afford only some of these items,25944.0
"$15,000 to $24,999",45.0,No,Unstable,3 – my time fluctuates,22694.0
"$25,000 to $34,999",37.0,No,Fluctuating,2 – I can afford only some of these items,30949.0
"$35,000 to $49,999",55.0,Yes,Fluctuating,2 – I can afford only some of these items,44588.0
"$25,000 to $34,999",30.0,No,Extremely unstable,1 – I cannot afford these items,28102.0
"Under $15,000",23.0,No,Unstable,2 – I can afford only some of these items,2027.0
"Under $15,000",25.0,Yes,Fluctuating,1 – I cannot afford these items,192.0
"$15,000 to $24,999",27.0,No,Extremely unstable,1 – I cannot afford these items,23656.0
"$25,000 to $34,999",31.0,No,Unstable,1 – I cannot afford these items,27424.0
"$15,000 to $24,999",38.0,No,Unstable,2 – I can afford only some of these items,20343.0
"$35,000 to $49,999",50.0,Yes,Fluctuating,3 – my time fluctuates,40946.0
"$35,000 to $49,999",28.0,No,Fluctuating,2 – I can afford only some of these items,45607.0
"$15,000 to $24,999",26.0,No,Unstable,1 – I cannot afford these items,16731.0
"$50,000 to $74,999",21.0,No,Unstable,1 – I cannot afford these items,73370.0
"$15,000 to $24,999",24.0,Yes,Unstable,1 – I cannot afford these items,22831.0
"$15,000 to $24,999",51.0,No,Fluctuating,2 – I can afford only some of these items,23390.0
"$35,000 to $49,999",57.0,Yes,Extremely unstable,2 – I can afford only some of these items,49748.0
"Under $15,000",33.0,Yes,Unstable,1 – I cannot afford these items,1325.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,9436.0
"Under $15,000",48.0,No,Unstable,2 – I can afford only some of these items,9335.0
"$15,000 to $24,999",27.0,Yes,Stable,2 – I can afford only some of these items,17050.0
"Under $15,000",22.0,Yes,Unstable,2 – I can afford only some of these items,6401.0
"$15,000 to $24,999",35.0,No,Unstable,2 – I can afford only some of these items,19404.0
"$15,000 to $24,999",78.0,No,Fluctuating,3 – my time fluctuates,21540.0
"$25,000 to $34,999",44.0,No,Unstable,1 – I cannot afford these items,33791.0
"$35,000 to $49,999",27.0,Yes,Unstable,2 – I can afford only some of these items,46173.0
"$25,000 to $34,999",28.0,Yes,Unstable,1 – I cannot afford these items,25169.0
"$25,000 to $34,999",44.0,Yes,Fluctuating,2 – I can afford only some of these items,30519.0
"$15,000 to $24,999",39.0,No,Extremely unstable,2 – I can afford only some of these items,21676.0
"$50,000 to $74,999",40.0,No,Extremely unstable,1 – I cannot afford these items,69847.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,5458.0
"$25,000 to $34,999",30.0,No,Unstable,2 – I can afford only some of these items,27780.0
"Under $15,000",23.0,No,Unstable,2 – I can afford only some of these items,12798.0
"$25,000 to $34,999",27.0,No,Fluctuating,1 – I cannot afford these items,34713.0
"Under $15,000",28.0,No,Extremely unstable,2 – I can afford only some of these items,2822.0
"$15,000 to $24,999",24.0,No,Unstable,2 – I can afford only some of these items,21756.0
"$15,000 to $24,999",45.0,No,Extremely unstable,2 – I can afford only some of these items,19507.0
"$15,000 to $24,999",32.0,Yes,Fluctuating,2 – I can afford only some of these items,19861.0
"Under $15,000",31.0,Yes,Extremely unstable,2 – I can afford only some of these items,1853.0
"$25,000 to $34,999",59.0,Yes,Fluctuating,3 – my time fluctuates,26209.0
"$15,000 to $24,999",52.0,Yes,Fluctuating,3 – my time fluctuates,23658.0
"Under $15,000",55.0,No,Extremely unstable,1 – I cannot afford these items,2176.0
"$15,000 to $24,999",31.0,Yes,Unstable,2 – I can afford only some of these items,19402.0
"$35,000 to $49,999",28.0,No,Extremely unstable,3 – my time fluctuates,37252.0
"$15,000 to $24,999",30.0,Yes,Fluctuating,3 – my time fluctuates,20877.0
"$25,000 to $34,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,25670.0
"$15,000 to $24,999",30.0,No,Unstable,1 – I cannot afford these items,17699.0
"$15,000 to $24,999",30.0,No,Unstable,2 – I can afford only some of these items,16256.0
"$25,000 to $34,999",32.0,No,Unstable,2 – I can afford only some of these items,34796.0
"$25,000 to $34,999",29.0,No,Unstable,1 – I cannot afford these items,30847.0
"Under $15,000",23.0,No,Extremely unstable,2 – I can afford only some of these items,3729.0
"$15,000 to $24,999",31.0,No,Unstable,2 – I can afford only some of these items,21531.0
"$35,000 to $49,999",28.0,No,Unstable,2 – I can afford only some of these items,49827.0
"Under $15,000",30.0,No,Extremely unstable,2 – I can afford only some of these items,5314.0
"$50,000 to $74,999",39.0,No,Unstable,2 – I can afford only some of these items,62670.0
"$15,000 to $24,999",35.0,Yes,Fluctuating,2 – I can afford only some of these items,16932.0
"$35,000 to $49,999",27.0,Yes,Stable,3 – my time fluctuates,36243.0
"$15,000 to $24,999",30.0,No,Unstable,1 – I cannot afford these items,23926.0
"$25,000 to $34,999",56.0,No,Extremely unstable,1 – I cannot afford these items,28537.0
"$15,000 to $24,999",44.0,No,Fluctuating,2 – I can afford only some of these items,19814.0
"$15,000 to $24,999",28.0,No,Fluctuating,2 – I can afford only some of these items,17944.0
"Under $15,000",38.0,No,Unstable,2 – I can afford only some of these items,5724.0
"$25,000 to $34,999",25.0,No,Extremely unstable,1 – I cannot afford these items,26120.0
"Under $15,000",28.0,No,Unstable,3 – my time fluctuates,12323.0
"$15,000 to $24,999",29.0,No,Fluctuating,1 – I cannot afford these items,23565.0
"$15,000 to $24,999",25.0,Yes,Unstable,3 – my time fluctuates,20331.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,18109.0
"Under $15,000",32.0,No,Extremely unstable,2 – I can afford only some of these items,12097.0
"$15,000 to $24,999",32.0,Yes,Fluctuating,3 – my time fluctuates,17374.0
"Under $15,000",49.0,No,Extremely unstable,1 – I cannot afford these items,1491.0
"$25,000 to $34,999",34.0,Yes,Fluctuating,3 – my time fluctuates,30600.0
"$15,000 to $24,999",29.0,No,Unstable,1 – I cannot afford these items,24263.0
"Under $15,000",30.0,Yes,Fluctuating,2 – I can afford only some of these items,11175.0
"$35,000 to $49,999",23.0,Yes,Fluctuating,1 – I cannot afford these items,42176.0
"$25,000 to $34,999",78.0,Yes,Fluctuating,2 – I can afford only some of these items,25606.0
"Under $15,000",31.0,No,Extremely unstable,2 – I can afford only some of these items,6669.0
"$25,000 to $34,999",41.0,Yes,Unstable,2 – I can afford only some of these items,32773.0
"Under $15,000",35.0,No,Extremely unstable,1 – I cannot afford these items,922.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,376.0
"$35,000 to $49,999",54.0,No,Unstable,2 – I can afford only some of these items,43530.0
"Under $15,000",32.0,Yes,Unstable,1 – I cannot afford these items,1119.0
"Under $15,000",33.0,No,Unstable,1 – I cannot afford these items,14495.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,12415.0
"$15,000 to $24,999",36.0,No,Extremely unstable,1 – I cannot afford these items,21354.0
"Under $15,000",55.0,No,Extremely unstable,1 – I cannot afford these items,8068.0
"$35,000 to $49,999",57.0,Yes,Fluctuating,3 – my time fluctuates,44473.0
"Under $15,000",27.0,No,Extremely unstable,1 – I cannot afford these items,693.0
"$35,000 to $49,999",44.0,Yes,Extremely unstable,1 – I cannot afford these items,47803.0
"$15,000 to $24,999",29.0,Yes,Unstable,1 – I cannot afford these items,15181.0
"$25,000 to $34,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,34802.0
"$15,000 to $24,999",32.0,Yes,Unstable,2 – I can afford only some of these items,20849.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,3832.0
"Under $15,000",24.0,No,Fluctuating,2 – I can afford only some of these items,7843.0
"$50,000 to $74,999",44.0,Yes,Stable,3 – my time fluctuates,57966.0
"$35,000 to $49,999",30.0,No,Unstable,2 – I can afford only some of these items,41178.0
"$15,000 to $24,999",27.0,No,Unstable,1 – I cannot afford these items,16938.0
"$15,000 to $24,999",41.0,Yes,Unstable,1 – I cannot afford these items,15654.0
"$25,000 to $34,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,27293.0
"$50,000 to $74,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,57767.0
"Under $15,000",20.0,No,Unstable,2 – I can afford only some of these items,680.0
"$50,000 to $74,999",27.0,Yes,Unstable,2 – I can afford only some of these items,64393.0
"Under $15,000",30.0,No,Fluctuating,1 – I cannot afford these items,8013.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,250.0
"$35,000 to $49,999",46.0,No,Unstable,2 – I can afford only some of these items,45449.0
"$25,000 to $34,999",24.0,No,Fluctuating,2 – I can afford only some of these items,34768.0
"Under $15,000",36.0,No,Extremely unstable,1 – I cannot afford these items,4067.0
"$15,000 to $24,999",25.0,No,Fluctuating,2 – I can afford only some of these items,19560.0
"$35,000 to $49,999",29.0,No,Fluctuating,2 – I can afford only some of these items,45989.0
"Under $15,000",26.0,Yes,Unstable,2 – I can afford only some of these items,9755.0
"$50,000 to $74,999",30.0,Yes,Fluctuating,3 – my time fluctuates,59401.0
"Under $15,000",88.0,Yes,Fluctuating,3 – my time fluctuates,8732.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,6811.0
"Under $15,000",26.0,No,Fluctuating,2 – I can afford only some of these items,5762.0
"$25,000 to $34,999",67.0,No,Fluctuating,2 – I can afford only some of these items,29402.0
"Under $15,000",66.0,No,Extremely unstable,2 – I can afford only some of these items,1825.0
"$15,000 to $24,999",35.0,No,Extremely unstable,1 – I cannot afford these items,19208.0
"$25,000 to $34,999",40.0,No,Unstable,2 – I can afford only some of these items,25453.0
"$25,000 to $34,999",38.0,No,Extremely unstable,1 – I cannot afford these items,34887.0
"Under $15,000",26.0,No,Extremely unstable,2 – I can afford only some of these items,7621.0
"Under $15,000",30.0,No,Extremely unstable,2 – I can afford only some of these items,10779.0
"Under $15,000",36.0,No,Extremely unstable,1 – I cannot afford these items,11071.0
"Under $15,000",26.0,No,Unstable,1 – I cannot afford these items,1373.0
"$15,000 to $24,999",27.0,No,Unstable,1 – I cannot afford these items,23407.0
"$35,000 to $49,999",29.0,No,Fluctuating,2 – I can afford only some of these items,37009.0
"$25,000 to $34,999",25.0,Yes,Unstable,2 – I can afford only some of these items,25674.0
"$15,000 to $24,999",73.0,Yes,Stable,4 – I can afford these items,24345.0
"Under $15,000",21.0,No,Fluctuating,2 – I can afford only some of these items,12571.0
"$15,000 to $24,999",37.0,No,Unstable,1 – I cannot afford these items,22546.0
"Under $15,000",33.0,Yes,Extremely unstable,2 – I can afford only some of these items,12645.0
"$15,000 to $24,999",32.0,No,Unstable,2 – I can afford only some of these items,18963.0
"$15,000 to $24,999",23.0,No,Unstable,2 – I can afford only some of these items,15704.0
"$25,000 to $34,999",28.0,Yes,Stable,3 – my time fluctuates,31114.0
"$35,000 to $49,999",32.0,No,Unstable,1 – I cannot afford these items,41875.0
"$25,000 to $34,999",32.0,No,Extremely unstable,2 – I can afford only some of these items,30372.0
"$15,000 to $24,999",28.0,No,Fluctuating,1 – I cannot afford these items,24265.0
"Under $15,000",29.0,No,Unstable,3 – my time fluctuates,8392.0
"$15,000 to $24,999",33.0,No,Unstable,3 – my time fluctuates,16528.0
"Under $15,000",33.0,No,Extremely unstable,2 – I can afford only some of these items,14433.0
"$35,000 to $49,999",43.0,No,Unstable,2 – I can afford only some of these items,43083.0
"Under $15,000",59.0,No,Extremely unstable,3 – my time fluctuates,273.0
"Under $15,000",38.0,No,Extremely unstable,1 – I cannot afford these items,8863.0
"$15,000 to $24,999",38.0,No,Unstable,2 – I can afford only some of these items,18333.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,21398.0
"Under $15,000",40.0,No,Fluctuating,2 – I can afford only some of these items,1031.0
"Under $15,000",54.0,No,Fluctuating,3 – my time fluctuates,5187.0
"$25,000 to $34,999",27.0,No,Unstable,2 – I can afford only some of these items,33835.0
"$15,000 to $24,999",46.0,No,Unstable,1 – I cannot afford these items,22939.0
"$15,000 to $24,999",41.0,Yes,Unstable,1 – I cannot afford these items,15734.0
"Under $15,000",23.0,No,Extremely unstable,1 – I cannot afford these items,9360.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,2 – I can afford only some of these items,22752.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,24917.0
"Under $15,000",24.0,No,Unstable,1 – I cannot afford these items,14625.0
"$100,000 to $149,999",46.0,No,Unstable,2 – I can afford only some of these items,131229.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,3604.0
"$15,000 to $24,999",36.0,Yes,Unstable,2 – I can afford only some of these items,16590.0
"$25,000 to $34,999",30.0,No,Unstable,1 – I cannot afford these items,27055.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,18232.0
"Under $15,000",37.0,Yes,Fluctuating,2 – I can afford only some of these items,4570.0
"Under $15,000",28.0,Yes,Fluctuating,2 – I can afford only some of these items,10988.0
"Under $15,000",82.0,No,Fluctuating,2 – I can afford only some of these items,4944.0
"$15,000 to $24,999",24.0,Yes,Unstable,2 – I can afford only some of these items,22000.0
"Under $15,000",37.0,No,Unstable,3 – my time fluctuates,5437.0
"$15,000 to $24,999",25.0,No,Unstable,2 – I can afford only some of these items,16517.0
"$35,000 to $49,999",32.0,No,Unstable,2 – I can afford only some of these items,48502.0
"Under $15,000",33.0,No,Unstable,3 – my time fluctuates,5439.0
"$25,000 to $34,999",28.0,No,Unstable,1 – I cannot afford these items,29097.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,1585.0
"$15,000 to $24,999",71.0,No,Unstable,2 – I can afford only some of these items,18526.0
"$50,000 to $74,999",27.0,Yes,Unstable,1 – I cannot afford these items,66238.0
"Under $15,000",29.0,No,Fluctuating,2 – I can afford only some of these items,9072.0
"$25,000 to $34,999",35.0,Yes,Fluctuating,3 – my time fluctuates,34905.0
"Under $15,000",31.0,No,Extremely unstable,4 – I can afford these items,8518.0
"$25,000 to $34,999",19.0,No,Fluctuating,1 – I cannot afford these items,28214.0
"$15,000 to $24,999",26.0,No,Fluctuating,3 – my time fluctuates,16841.0
"$15,000 to $24,999",28.0,Yes,Unstable,3 – my time fluctuates,22647.0
"$15,000 to $24,999",24.0,Yes,Fluctuating,2 – I can afford only some of these items,18138.0
"Under $15,000",56.0,No,Extremely unstable,2 – I can afford only some of these items,12350.0
"Under $15,000",24.0,No,Unstable,1 – I cannot afford these items,2794.0
"$15,000 to $24,999",25.0,No,Fluctuating,4 – I can afford these items,20856.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,16242.0
"Under $15,000",28.0,Yes,Extremely unstable,1 – I cannot afford these items,2495.0
"$15,000 to $24,999",32.0,Yes,Unstable,3 – my time fluctuates,19314.0
"$35,000 to $49,999",32.0,No,Unstable,2 – I can afford only some of these items,41289.0
"$15,000 to $24,999",26.0,No,Fluctuating,2 – I can afford only some of these items,24735.0
"$35,000 to $49,999",28.0,No,Unstable,2 – I can afford only some of these items,38782.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,19808.0
"$15,000 to $24,999",61.0,Yes,Fluctuating,3 – my time fluctuates,21545.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,4624.0
"$25,000 to $34,999",32.0,Yes,Unstable,2 – I can afford only some of these items,27395.0
"$15,000 to $24,999",26.0,No,Unstable,1 – I cannot afford these items,23621.0
"Under $15,000",64.0,No,Extremely unstable,1 – I cannot afford these items,2206.0
"$25,000 to $34,999",40.0,No,Unstable,3 – my time fluctuates,26477.0
"$15,000 to $24,999",31.0,No,Unstable,2 – I can afford only some of these items,20753.0
"$25,000 to $34,999",30.0,Yes,Unstable,2 – I can afford only some of these items,30440.0
"Under $15,000",41.0,Yes,Unstable,2 – I can afford only some of these items,13574.0
"$25,000 to $34,999",29.0,Yes,Fluctuating,3 – my time fluctuates,26961.0
"$15,000 to $24,999",26.0,Yes,Stable,3 – my time fluctuates,21206.0
"$15,000 to $24,999",32.0,No,Fluctuating,1 – I cannot afford these items,19681.0
"$35,000 to $49,999",32.0,Yes,Unstable,2 – I can afford only some of these items,38668.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,21731.0
"Under $15,000",24.0,No,Extremely unstable,1 – I cannot afford these items,5647.0
"$35,000 to $49,999",28.0,No,Unstable,1 – I cannot afford these items,39664.0
"$35,000 to $49,999",28.0,No,Fluctuating,2 – I can afford only some of these items,38809.0
"$25,000 to $34,999",33.0,No,Fluctuating,2 – I can afford only some of these items,34460.0
"$15,000 to $24,999",23.0,No,Unstable,2 – I can afford only some of these items,22750.0
"Under $15,000",68.0,No,Extremely unstable,2 – I can afford only some of these items,14112.0
"$35,000 to $49,999",37.0,No,Fluctuating,2 – I can afford only some of these items,38737.0
"$15,000 to $24,999",28.0,No,Stable,3 – my time fluctuates,21134.0
"Under $15,000",36.0,No,Unstable,1 – I cannot afford these items,4755.0
"Under $15,000",45.0,Yes,Unstable,1 – I cannot afford these items,6625.0
"$50,000 to $74,999",28.0,No,Fluctuating,3 – my time fluctuates,73518.0
"$15,000 to $24,999",63.0,No,Unstable,2 – I can afford only some of these items,23702.0
"Under $15,000",29.0,No,Unstable,1 – I cannot afford these items,10874.0
"Under $15,000",40.0,No,Unstable,2 – I can afford only some of these items,1829.0
"Under $15,000",42.0,Yes,Fluctuating,3 – my time fluctuates,1830.0
"$75,000 to $99,999",59.0,Yes,Unstable,2 – I can afford only some of these items,87756.0
