id,lgbtqiap
HRN01TN7VB,No  
FKOZDQQ2PW,Yes  
QCIBQPZEEI,No  
WVK9QOK3ZC,Yes  
DT3H4I2X7Q,Yes  
E6DXW3I7GP,Yes  
B81HX9YJNE,No  
R3U01597FO,Yes  
BCTT9XVCMG,Yes  
SQ8GGDKQNW,No  
6K3DEO7E0G,Yes  
4L3NBS1WCT,I prefer not to answer  
0WZSE797RN,No  
1JBYZF0SRI,Yes  
PYKXP1OU6X,Yes  
MUOE7EELED,Yes  
99UDJAO2DN,No  
EBC3WZA2JZ,No  
TULU1146EY,Yes  
9IVBEUBSFE,Yes  
C4VVWD9L78,I prefer not to answer  
C3KHWZM3BR,No  
KRW90PXDED,No  
ZHW8AVH9Z4,No  
FOS8DA1C76,No  
6IHMS44OM1,Yes  
45ZW1XK1CO,I prefer not to answer  
TJ7UGX0A3W,No  
AIQC2M926F,Yes  
HQ5L2G70IP,No  
7MWB8BAWLD,Yes  
W1MOV4X2X1,Yes  
9W2VWI3E8U,No  
6336G644KL,I prefer not to answer  
2LG5U0S4OD,No  
6AUQK5EZ47,No  
F18X7FC3CO,No  
37TDQN71IX,No  
TBZ5R9PLI5,Yes  
WVS81TFSE6,Yes  
I6QSPWV5JP,No  
RK2G26XOOE,No  
6MGLU2VSFA,Yes  
GZSBZP70X2,No  
QXU056Q4H3,No  
8QCM6ERO4V,Yes  
TH2L5XUTEG,I prefer not to answer  
0Q9WGJ4PXF,No  
GCQH0H7VS3,No  
8WXKMY184Q,Yes  
I1KB64J7WP,Yes  
034ZA8LISM,Yes  
YAAGTKILD9,Yes  
CYGBWUMLEI,Yes  
PTDZEWYHKA,Yes  
9L4SISNQDZ,No  
3A7L0OGLTM,I prefer not to answer  
QJTN64AWH0,Yes  
6D74V0K89W,Yes  
JQ2IFKG7CJ,Yes  
VIKMKTGBU6,No  
YIZGC16LYO,I prefer not to answer  
EV1PMPBAGX,Yes  
0V8X6JKQ8O,I prefer not to answer  
TN9JP9GE3V,Yes  
GD1WNI950W,Yes  
ICK3Y86Z4U,No  
C2HNWAMPUP,Yes  
BBQY1MZIPU,I prefer not to answer  
KRSJ3OY06K,Yes  
N3ZCETIBJ5,No  
U7X17X901B,Yes  
GVU8XF1XO7,I prefer not to answer  
EHPSD6E3UL,Yes  
VAAU2HX00T,I prefer not to answer  
15DU10VYTS,No  
RF0W01SI9E,No  
A2SSTVJ6P7,I prefer not to answer  
9T63Y6LJJT,Yes  
FXFPP4SNX9,No  
G9AYHQHBC1,No  
PUV9S7V5W1,No  
U75M3V85R0,Yes  
UHNJVT3KSW,Yes  
XEDK8LIYSZ,No  
5AB4IH8XC6,Yes  
3XTNO3XQ68,No  
NHAG65AG1D,No  
SZ4Y4UT7N5,No  
5ZCTAJMSQI,Yes  
75FFZ1K9IH,No  
7O9N8FWRQC,Yes  
1HEY0MOLQR,No  
MNSSSW0EZQ,No  
RFN5ITVC93,No  
A77MA2XPE5,Yes  
HA6KPS4NI6,Yes  
QHQSL0GC16,No  
PHGSIA5T36,Yes  
2KJ3AG4VEI,I prefer not to answer  
V86T22300B,Yes  
V0FMAIJLRH,No  
M4EIA8DFDK,No  
VXJP3ZQP33,No  
2CMBJPGSGN,No  
FWRLPYG988,No  
DV5FVW8R1W,No  
IRPOSHO221,Yes  
LM769IVADJ,Yes  
69E9LEFK5A,Yes  
UWKIIX3KXW,No  
2Q583NNK1I,Yes  
8ZZEMPL1HM,Yes  
AS22G9RWE2,Yes  
KHCRU7URYI,No  
Z7J32JSTTD,Yes  
7D2LLSFWFH,Yes  
