earning_mode,household_income_2021,debt,age,income
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,24313.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,7490.0
Unemployed,"Under $15,000",Yes,37.0,1867.0
Fulltime Job,"$15,000 to $24,999",Yes,35.0,18821.0
Fulltime Job,"$35,000 to $49,999",No,28.0,38735.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,28.0,40331.0
Unemployed,"$15,000 to $24,999",Yes,29.0,20256.0
Family Support,"$15,000 to $24,999",Yes,29.0,15555.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,23487.0
Unemployed,"$35,000 to $49,999",Yes,22.0,41820.0
Art Practice,"$35,000 to $49,999",Yes,22.0,45026.0
Other,"$35,000 to $49,999",Yes,22.0,42385.0
Fulltime Job,"$25,000 to $34,999",Yes,39.0,30527.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,39.0,34026.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,30.0,32026.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,30.0,30205.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,37.0,18988.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,32064.0
One or More Part-time Jobs,"Under $15,000",Yes,33.0,12034.0
Other,"Under $15,000",Yes,33.0,14635.0
Unemployed,"$25,000 to $34,999",Yes,40.0,27986.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,27656.0
Art Practice,"$15,000 to $24,999",Yes,39.0,15475.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,39.0,24843.0
Art Practice,"Under $15,000",Yes,50.0,14520.0
One or More Part-time Jobs,"Under $15,000",No,27.0,11175.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,24905.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,16064.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,59.0,24609.0
Unemployed,"$100,000 to $149,999",Yes,32.0,133473.0
Art Practice,"$25,000 to $34,999",No,27.0,33864.0
Unemployed,"$15,000 to $24,999",Yes,61.0,24707.0
Art Practice,"$15,000 to $24,999",Yes,61.0,16101.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,61.0,22538.0
Contracts or Temporary Jobs,"Under $15,000",Yes,35.0,8389.0
One or More Part-time Jobs,"Under $15,000",Yes,35.0,13907.0
