earning_mode,household_income_2021,debt,age,income
Contracts or Temporary Jobs,"Under $15,000",Yes,40.0,13266.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,39.0,16660.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,30.0,28765.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,30.0,32596.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,36.0,30254.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,36.0,27669.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,25970.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,25901.0
Contracts or Temporary Jobs,"Under $15,000",No,30.0,4987.0
Unemployed,"Under $15,000",Yes,29.0,11115.0
Family Support,"Under $15,000",Yes,29.0,919.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,11278.0
Unemployed,"Under $15,000",Yes,42.0,3167.0
Fulltime Job,"$25,000 to $34,999",Yes,29.0,31796.0
Other,"$25,000 to $34,999",Yes,29.0,34791.0
Unemployed,"Under $15,000",Yes,42.0,3056.0
Art Practice,"Under $15,000",Yes,42.0,2985.0
Unemployed,"$15,000 to $24,999",Yes,31.0,22046.0
Other,"$15,000 to $24,999",Yes,31.0,21363.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,30.0,45264.0
Unemployed,"$15,000 to $24,999",Yes,21.0,18679.0
Family Support,"$15,000 to $24,999",Yes,21.0,24189.0
Unemployed,"$15,000 to $24,999",Yes,75.0,17220.0
Other,"$15,000 to $24,999",Yes,75.0,18996.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,35446.0
Art Practice,"Under $15,000",Yes,27.0,8212.0
Fulltime Job,"$25,000 to $34,999",Yes,28.0,34668.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,20888.0
Unemployed,"$25,000 to $34,999",No,21.0,32517.0
Unemployed,"Under $15,000",No,22.0,712.0
Art Practice,"Under $15,000",No,22.0,3293.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,38.0,24561.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,38.0,22239.0
Family Support,"$15,000 to $24,999",Yes,58.0,17966.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,56.0,37518.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,46.0,30659.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,27478.0
Unemployed,"Under $15,000",Yes,26.0,12431.0
Art Practice,"Under $15,000",Yes,26.0,2032.0
Contracts or Temporary Jobs,"Under $15,000",Yes,26.0,5783.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,24.0,33487.0
Unemployed,"Under $15,000",No,32.0,229.0
Art Practice,"Under $15,000",No,32.0,765.0
Contracts or Temporary Jobs,"Under $15,000",No,32.0,13468.0
Art Practice,"$15,000 to $24,999",Yes,60.0,20004.0
Unemployed,"$25,000 to $34,999",Yes,27.0,27542.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,30320.0
Other,"$25,000 to $34,999",Yes,27.0,25949.0
Unemployed,"Under $15,000",Yes,24.0,11659.0
Art Practice,"Under $15,000",Yes,24.0,4152.0
Art Practice,"$15,000 to $24,999",Yes,28.0,15678.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,16816.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,1337.0
Other,"Under $15,000",Yes,25.0,6593.0
Unemployed,"Under $15,000",No,30.0,5799.0
Art Practice,"Under $15,000",No,30.0,7888.0
Contracts or Temporary Jobs,"Under $15,000",No,30.0,9106.0
Unemployed,"Under $15,000",Yes,30.0,8435.0
Art Practice,"$15,000 to $24,999",Yes,28.0,21194.0
Unemployed,"Under $15,000",Prefer not to answer ,27.0,1343.0
Family Support,"Under $15,000",Prefer not to answer ,27.0,8676.0
Unemployed,"$15,000 to $24,999",Yes,24.0,24725.0
Unemployed,"$35,000 to $49,999",Yes,29.0,46167.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,40640.0
Fulltime Job,"$15,000 to $24,999",Yes,26.0,20195.0
Art Practice,"$15,000 to $24,999",No,27.0,18229.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,15586.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,45.0,28924.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,45.0,26614.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,49.0,33337.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,20510.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,15915.0
Unemployed,"$15,000 to $24,999",Yes,23.0,18405.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,34462.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,33885.0
Fulltime Job,"$25,000 to $34,999",Yes,24.0,25226.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,24.0,28706.0
Family Support,"$15,000 to $24,999",No,33.0,19073.0
Art Practice,"$15,000 to $24,999",No,33.0,24034.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,33.0,18249.0
Art Practice,"Under $15,000",Yes,29.0,11858.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,3401.0
Art Practice,"$25,000 to $34,999",Yes,30.0,26867.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,30.0,28884.0
Art Practice,"$35,000 to $49,999",Yes,29.0,46253.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,36673.0
Contracts or Temporary Jobs,"Under $15,000",No,25.0,13053.0
One or More Part-time Jobs,"Under $15,000",No,25.0,11381.0
Art Practice,"Under $15,000",Yes,27.0,14782.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,2837.0
Unemployed,"Under $15,000",Yes,28.0,7570.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,7175.0
Other,"Under $15,000",Yes,28.0,10648.0
Art Practice,"Under $15,000",Yes,27.0,8050.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,806.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,4370.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,26.0,21915.0
Unemployed,"$15,000 to $24,999",Yes,26.0,18044.0
Other,"$15,000 to $24,999",Yes,26.0,22508.0
Fulltime Job,"$15,000 to $24,999",Yes,29.0,24219.0
Unemployed,"Under $15,000",Yes,29.0,4902.0
Other,"Under $15,000",Yes,29.0,5391.0
Art Practice,"$15,000 to $24,999",Yes,32.0,15697.0
Unemployed,"Under $15,000",Yes,33.0,5984.0
Art Practice,"Under $15,000",Yes,33.0,7968.0
Fulltime Job,"$15,000 to $24,999",Yes,27.0,16975.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,23478.0
Unemployed,"Under $15,000",Yes,26.0,32.0
Family Support,"Under $15,000",Yes,26.0,5675.0
Unemployed,"Under $15,000",Yes,27.0,2600.0
Fulltime Job,"$35,000 to $49,999",Yes,31.0,39771.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,44443.0
Unemployed,"Under $15,000",Prefer not to answer ,28.0,13665.0
Unemployed,"Under $15,000",No,22.0,7423.0
Art Practice,"Under $15,000",No,22.0,9263.0
Contracts or Temporary Jobs,"Under $15,000",No,22.0,12735.0
Unemployed,"$15,000 to $24,999",Yes,33.0,16575.0
Art Practice,"$15,000 to $24,999",Yes,33.0,24327.0
Unemployed,"$15,000 to $24,999",Yes,37.0,22315.0
Art Practice,"$15,000 to $24,999",Yes,37.0,22172.0
Unemployed,"Under $15,000",No,27.0,9205.0
Family Support,"Under $15,000",No,27.0,5035.0
Unemployed,"Under $15,000",Yes,50.0,12168.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,14395.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,14666.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,25113.0
Unemployed,"$25,000 to $34,999",No,27.0,33952.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,20777.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,22735.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,29.0,19792.0
Unemployed,"Under $15,000",Yes,39.0,11089.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,46.0,31697.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,46.0,27391.0
Fulltime Job,"$50,000 to $74,999",Yes,26.0,58407.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,26.0,66087.0
Other,"$50,000 to $74,999",Yes,26.0,69335.0
Fulltime Job,"$35,000 to $49,999",Yes,43.0,43883.0
Unemployed,"Under $15,000",No,30.0,10578.0
Contracts or Temporary Jobs,"Under $15,000",No,30.0,12065.0
Unemployed,"Under $15,000",Yes,29.0,10006.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,19959.0
Other,"$15,000 to $24,999",Yes,26.0,17547.0
One or More Part-time Jobs,"Under $15,000",Yes,26.0,7042.0
Art Practice,"Under $15,000",No,41.0,13259.0
Contracts or Temporary Jobs,"Under $15,000",Yes,21.0,8137.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,488.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,31399.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,22067.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,22612.0
Art Practice,"$25,000 to $34,999",No,21.0,33830.0
Unemployed,"Under $15,000",Yes,24.0,4841.0
Family Support,"Under $15,000",Yes,24.0,13326.0
Art Practice,"Under $15,000",Yes,24.0,12175.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,9310.0
Family Support,"$50,000 to $74,999",Yes,47.0,55426.0
Art Practice,"$50,000 to $74,999",Yes,47.0,53803.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,20110.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,22.0,22294.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,22.0,23099.0
Fulltime Job,"$25,000 to $34,999",No,37.0,25734.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,37.0,30503.0
Art Practice,"Under $15,000",Yes,30.0,6787.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,6539.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,12985.0
Art Practice,"$35,000 to $49,999",Yes,39.0,49702.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,39.0,39139.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,39.0,41290.0
Fulltime Job,"$25,000 to $34,999",Yes,46.0,32995.0
Unemployed,"$15,000 to $24,999",Yes,24.0,24477.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,18193.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,46.0,15154.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,46.0,15213.0
Family Support,"Under $15,000",Yes,28.0,2783.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,14562.0
Art Practice,"$35,000 to $49,999",Yes,30.0,49742.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,48378.0
Art Practice,"Under $15,000",Yes,20.0,7159.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,39.0,31645.0
Fulltime Job,"$15,000 to $24,999",Yes,30.0,20607.0
Unemployed,"$15,000 to $24,999",Yes,26.0,18296.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,15246.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,24115.0
Art Practice,"$15,000 to $24,999",Yes,31.0,19208.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,21132.0
Art Practice,"Over $150,000",No,24.0,186483.0
Contracts or Temporary Jobs,"Over $150,000",No,24.0,201861.0
One or More Part-time Jobs,"Over $150,000",No,24.0,167861.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,15196.0
Unemployed,"$50,000 to $74,999",Yes,26.0,59830.0
Family Support,"$50,000 to $74,999",Yes,26.0,65074.0
Art Practice,"$50,000 to $74,999",Yes,26.0,73421.0
Unemployed,"Under $15,000",No,26.0,10076.0
Family Support,"Under $15,000",No,26.0,266.0
Contracts or Temporary Jobs,"Under $15,000",No,28.0,12763.0
One or More Part-time Jobs,"Under $15,000",No,28.0,11060.0
Unemployed,"Under $15,000",Yes,25.0,2407.0
Family Support,"$15,000 to $24,999",Yes,38.0,23772.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,38.0,19038.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,23.0,28969.0
Art Practice,"$35,000 to $49,999",Yes,31.0,36813.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,31.0,45308.0
Other,"$35,000 to $49,999",Yes,31.0,43924.0
Other,"Under $15,000",Yes,22.0,10256.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,37.0,15523.0
One or More Part-time Jobs,"Under $15,000",Yes,64.0,6772.0
Unemployed,"Under $15,000",Yes,27.0,8449.0
Family Support,"Under $15,000",Yes,27.0,2398.0
Art Practice,"Under $15,000",Yes,27.0,13739.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,10551.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,13957.0
Unemployed,"Under $15,000",Yes,24.0,1702.0
Art Practice,"Under $15,000",Yes,24.0,9868.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,9040.0
Unemployed,"Under $15,000",Yes,30.0,9304.0
Unemployed,"$15,000 to $24,999",Yes,21.0,23350.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,19533.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,20156.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,24900.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,19516.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,36.0,45429.0
One or More Part-time Jobs,"Under $15,000",No,69.0,13696.0
Other,"Under $15,000",No,69.0,6279.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,44.0,31111.0
Art Practice,"Under $15,000",Yes,33.0,7897.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,25.0,27376.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,25.0,28604.0
Unemployed,"$15,000 to $24,999",Yes,26.0,22671.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,22724.0
Other,"$25,000 to $34,999",Yes,31.0,25771.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,23.0,23608.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,37.0,31530.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,12229.0
One or More Part-time Jobs,"Under $15,000",Yes,22.0,13898.0
Unemployed,"Under $15,000",Yes,33.0,5769.0
Family Support,"Under $15,000",Yes,33.0,9818.0
One or More Part-time Jobs,"$15,000 to $24,999",No,25.0,18393.0
Unemployed,"Under $15,000",Yes,24.0,412.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,16592.0
Unemployed,"Under $15,000",Yes,24.0,712.0
Other,"Under $15,000",Yes,24.0,7000.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,61.0,40759.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,42.0,19304.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,42.0,22812.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,25.0,34425.0
Unemployed,"Under $15,000",Yes,27.0,1031.0
Art Practice,"Under $15,000",Prefer not to answer ,36.0,9934.0
Unemployed,"Under $15,000",Yes,21.0,8855.0
Art Practice,"$50,000 to $74,999",Yes,45.0,51743.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,45.0,54780.0
Unemployed,"$50,000 to $74,999",Yes,23.0,57245.0
Family Support,"$50,000 to $74,999",Yes,23.0,68628.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,31500.0
Unemployed,"$25,000 to $34,999",Yes,19.0,34967.0
Family Support,"$25,000 to $34,999",Yes,19.0,28806.0
Art Practice,"$25,000 to $34,999",Prefer not to answer ,29.0,33039.0
Unemployed,"$25,000 to $34,999",Yes,27.0,32648.0
Art Practice,"$25,000 to $34,999",Yes,27.0,31994.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,33628.0
Unemployed,"Under $15,000",Prefer not to answer ,23.0,11169.0
Unemployed,"$25,000 to $34,999",Yes,29.0,34469.0
Art Practice,"$25,000 to $34,999",Yes,29.0,27439.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,29.0,25970.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,32958.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,36.0,42814.0
Unemployed,"$35,000 to $49,999",Prefer not to answer ,20.0,37543.0
Family Support,"$35,000 to $49,999",Prefer not to answer ,20.0,39385.0
Unemployed,"$15,000 to $24,999",Yes,22.0,17824.0
Art Practice,"$15,000 to $24,999",Yes,22.0,17840.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,21800.0
Art Practice,"$15,000 to $24,999",No,48.0,19282.0
One or More Part-time Jobs,"$15,000 to $24,999",No,48.0,16613.0
Unemployed,"$35,000 to $49,999",Yes,60.0,42146.0
Art Practice,"$35,000 to $49,999",Yes,60.0,36667.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,60.0,45614.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,40.0,40927.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,40.0,19293.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,40.0,22669.0
Art Practice,"$15,000 to $24,999",Yes,34.0,19694.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,21551.0
Art Practice,"$15,000 to $24,999",Yes,23.0,23745.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,19096.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,14336.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,14548.0
Unemployed,"Under $15,000",Yes,52.0,4092.0
Fulltime Job,"$25,000 to $34,999",Yes,30.0,34116.0
Unemployed,"$35,000 to $49,999",Yes,21.0,41594.0
Family Support,"$35,000 to $49,999",Yes,21.0,46389.0
Art Practice,"Under $15,000",Yes,26.0,6865.0
Contracts or Temporary Jobs,"Under $15,000",Yes,26.0,4587.0
Other,"Under $15,000",Yes,26.0,6710.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,34.0,20301.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,23.0,54091.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,35.0,38409.0
Unemployed,"$15,000 to $24,999",No,36.0,16966.0
Unemployed,"$15,000 to $24,999",Yes,32.0,18790.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,21595.0
Fulltime Job,"$25,000 to $34,999",No,44.0,27668.0
Art Practice,"$15,000 to $24,999",Yes,34.0,18230.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,19595.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,28.0,27496.0
One or More Part-time Jobs,"$25,000 to $34,999",No,28.0,25574.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,42.0,30886.0
Unemployed,"Under $15,000",Yes,33.0,10042.0
Unemployed,"Under $15,000",Yes,72.0,641.0
Other,"Under $15,000",Yes,72.0,5675.0
Unemployed,"Under $15,000",Yes,31.0,9904.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,12303.0
Other,"Under $15,000",Yes,31.0,6316.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,23.0,29177.0
One or More Part-time Jobs,"$25,000 to $34,999",No,23.0,30683.0
Unemployed,"Under $15,000",Prefer not to answer ,29.0,7768.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,18863.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,20020.0
Unemployed,"$35,000 to $49,999",Yes,31.0,49072.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,40817.0
Unemployed,"$35,000 to $49,999",Yes,63.0,44455.0
Other,"$35,000 to $49,999",Yes,63.0,46239.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,13101.0
One or More Part-time Jobs,"Under $15,000",Yes,31.0,9970.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,39.0,15228.0
Other,"$25,000 to $34,999",Yes,73.0,32243.0
Contracts or Temporary Jobs,"Under $15,000",No,31.0,10841.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,31316.0
Fulltime Job,"$35,000 to $49,999",Yes,24.0,40005.0
Unemployed,"Under $15,000",Yes,30.0,7013.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,10998.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,21766.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,19106.0
Unemployed,"Under $15,000",Yes,22.0,2752.0
Family Support,"Under $15,000",Yes,22.0,5543.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,10619.0
Art Practice,"$50,000 to $74,999",Yes,35.0,62157.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,15447.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,13828.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,4280.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,12878.0
Art Practice,"$35,000 to $49,999",Yes,35.0,49200.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,45517.0
Unemployed,"Under $15,000",Yes,22.0,12390.0
Art Practice,"Under $15,000",Yes,22.0,8143.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,9032.0
Unemployed,"$15,000 to $24,999",Yes,24.0,23678.0
Family Support,"$25,000 to $34,999",No,28.0,26816.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,28.0,33676.0
One or More Part-time Jobs,"$25,000 to $34,999",No,28.0,29846.0
Family Support,"Under $15,000",Yes,23.0,13630.0
Contracts or Temporary Jobs,"Under $15,000",Yes,23.0,11159.0
One or More Part-time Jobs,"Under $15,000",Yes,23.0,5639.0
Unemployed,"Under $15,000",Yes,22.0,11281.0
Art Practice,"$25,000 to $34,999",Yes,32.0,27679.0
Fulltime Job,"$25,000 to $34,999",Yes,32.0,30928.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,27691.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,32522.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,21161.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,17035.0
Other,"$15,000 to $24,999",Yes,43.0,19751.0
Unemployed,"Under $15,000",Yes,22.0,11171.0
Family Support,"Under $15,000",Yes,22.0,11705.0
Unemployed,"Over $150,000",Yes,26.0,183109.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,3735.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,14129.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,28.0,33135.0
One or More Part-time Jobs,"$25,000 to $34,999",No,28.0,34100.0
Art Practice,"$25,000 to $34,999",No,42.0,29236.0
Fulltime Job,"$25,000 to $34,999",Yes,33.0,32458.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,17632.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,17062.0
One or More Part-time Jobs,"Under $15,000",No,24.0,8424.0
Fulltime Job,"$25,000 to $34,999",No,24.0,29673.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,24.0,29954.0
Art Practice,"$15,000 to $24,999",Yes,37.0,20975.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,17530.0
Contracts or Temporary Jobs,"Under $15,000",Yes,54.0,4818.0
Unemployed,"$15,000 to $24,999",Yes,21.0,17363.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,21.0,20900.0
Unemployed,"Under $15,000",Yes,23.0,7174.0
Contracts or Temporary Jobs,"Under $15,000",Yes,26.0,8006.0
Other,"$35,000 to $49,999",Yes,29.0,43782.0
Fulltime Job,"$35,000 to $49,999",Yes,28.0,44763.0
Family Support,"$25,000 to $34,999",Yes,40.0,30627.0
Unemployed,"Under $15,000",Yes,46.0,13187.0
Art Practice,"Under $15,000",Yes,46.0,9199.0
Fulltime Job,"$25,000 to $34,999",Yes,21.0,28560.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,21.0,32397.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,17988.0
One or More Part-time Jobs,"$15,000 to $24,999",No,62.0,19672.0
Unemployed,"Under $15,000",No,64.0,3738.0
Art Practice,"Under $15,000",No,64.0,1706.0
Unemployed,"$15,000 to $24,999",Yes,32.0,20296.0
Family Support,"Under $15,000",Yes,21.0,7077.0
Contracts or Temporary Jobs,"Under $15,000",Yes,21.0,1600.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,2902.0
One or More Part-time Jobs,"Under $15,000",Yes,23.0,1120.0
Unemployed,"Under $15,000",Yes,24.0,699.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,3262.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,23469.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,31.0,21848.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,16943.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,23952.0
One or More Part-time Jobs,"$15,000 to $24,999",No,26.0,17314.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,21882.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,25.0,32684.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,25.0,27169.0
Unemployed,"Under $15,000",No,25.0,6690.0
Unemployed,"$25,000 to $34,999",No,18.0,25189.0
Family Support,"$25,000 to $34,999",No,18.0,26716.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,24563.0
Fulltime Job,"$50,000 to $74,999",Yes,27.0,69206.0
Unemployed,"Under $15,000",Yes,41.0,10135.0
Family Support,"Under $15,000",Yes,41.0,13795.0
Unemployed,"Under $15,000",Yes,24.0,11998.0
Family Support,"Under $15,000",Yes,24.0,369.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,9704.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,14747.0
Unemployed,"$15,000 to $24,999",Yes,32.0,22974.0
Family Support,"$15,000 to $24,999",Yes,32.0,21437.0
Art Practice,"$15,000 to $24,999",Yes,32.0,22902.0
Unemployed,"Under $15,000",Prefer not to answer ,25.0,14768.0
Family Support,"Under $15,000",Prefer not to answer ,25.0,12848.0
Unemployed,"Under $15,000",Yes,28.0,3552.0
Art Practice,"$15,000 to $24,999",Yes,40.0,21690.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,40.0,18601.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,30674.0
Unemployed,"$50,000 to $74,999",Yes,47.0,59686.0
Family Support,"$50,000 to $74,999",Yes,47.0,64356.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,7895.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,7274.0
Unemployed,"Under $15,000",Yes,27.0,12560.0
Art Practice,"Under $15,000",Yes,27.0,13351.0
