status,frequency,percentage
Completed,9676,74.49953803510934
Declined,972,7.48383122882661
Funded,1298,9.993840468124422
In-Progress,664,5.112411456729289
New,211,1.624576532183554
Shortlisted ,3,0.02309824453341546
Withdrawn,164,1.2627040344933786
